query	target	fident
new_DNA_2102	new_DNA_2101	0.728
new_DNA_2856	new_DNA_2228	0.728
new_DNA_2039	new_DNA_3054	0.728
new_DNA_2234	new_DNA_2857	0.728
new_DNA_2158	new_DNA_2853	0.728
new_DNA_2852	new_DNA_2234	0.728
new_DNA_2851	new_DNA_2175	0.728
new_DNA_2857	new_DNA_2158	0.728
new_DNA_2103	new_DNA_2101	0.728
new_DNA_2234	new_DNA_2850	0.728
new_DNA_2860	new_DNA_3098	0.728
new_DNA_2387	new_DNA_2399	0.729
new_DNA_2955	new_DNA_2958	0.73
new_DNA_2334	new_DNA_2329	0.73
new_DNA_1957	new_DNA_2305	0.73
new_DNA_1698	new_DNA_1694	0.73
new_DNA_2333	new_DNA_2352	0.73
new_DNA_3025	new_DNA_3031	0.73
new_DNA_2997	new_DNA_2998	0.73
new_DNA_3268	new_DNA_3263	0.73
new_DNA_2998	new_DNA_3025	0.73
new_DNA_2372	new_DNA_2305	0.73
new_DNA_2616	new_DNA_2613	0.73
new_DNA_2388	new_DNA_2393	0.73
new_DNA_3403	new_DNA_3394	0.731
new_DNA_3279	new_DNA_3403	0.732
new_DNA_3403	new_DNA_3399	0.732
new_DNA_3403	new_DNA_3398	0.732
new_DNA_3400	new_DNA_3403	0.732
new_DNA_2598	new_DNA_2592	0.733
new_DNA_3078	new_DNA_2860	0.733
new_DNA_1899	new_DNA_3265	0.733
new_DNA_3393	new_DNA_3278	0.733
new_DNA_3400	new_DNA_3393	0.733
new_DNA_3400	new_DNA_3392	0.733
new_DNA_2130	new_DNA_2305	0.734
new_DNA_2129	new_DNA_3180	0.734
new_DNA_2391	new_DNA_2403	0.735
new_DNA_2334	new_DNA_2333	0.735
new_DNA_2332	new_DNA_2333	0.735
new_DNA_2854	new_DNA_2158	0.736
new_DNA_3057	new_DNA_3057	0.736
new_DNA_2856	new_DNA_2158	0.736
new_DNA_2476	new_DNA_2475	0.736
new_DNA_2856	new_DNA_2175	0.737
new_DNA_2177	new_DNA_2851	0.737
new_DNA_2526	new_DNA_2524	0.738
new_DNA_2353	new_DNA_2334	0.738
new_DNA_3394	new_DNA_3110	0.738
new_DNA_2166	new_DNA_2713	0.738
new_DNA_2522	new_DNA_2524	0.738
new_DNA_2353	new_DNA_2305	0.738
new_DNA_2311	new_DNA_2327	0.738
new_DNA_3026	new_DNA_3027	0.738
new_DNA_2524	new_DNA_2527	0.738
new_DNA_3404	new_DNA_2861	0.74
new_DNA_2862	new_DNA_3396	0.74
new_DNA_3343	new_DNA_3345	0.74
new_DNA_2188	new_DNA_2855	0.741
new_DNA_2240	new_DNA_2018	0.741
new_DNA_2854	new_DNA_2188	0.741
new_DNA_2860	new_DNA_3398	0.741
new_DNA_3394	new_DNA_2860	0.741
new_DNA_2188	new_DNA_2850	0.741
new_DNA_2865	new_DNA_3400	0.742
new_DNA_3396	new_DNA_2074	0.742
new_DNA_3032	new_DNA_3031	0.742
new_DNA_3014	new_DNA_3006	0.742
new_DNA_3209	new_DNA_3209	0.742
new_DNA_3397	new_DNA_3394	0.743
new_DNA_2401	new_DNA_2400	0.744
new_DNA_2400	new_DNA_1959	0.744
new_DNA_2614	new_DNA_2017	0.745
new_DNA_2194	new_DNA_2854	0.745
new_DNA_2851	new_DNA_2194	0.745
new_DNA_2555	new_DNA_2522	0.745
new_DNA_2520	new_DNA_1994	0.745
new_DNA_2861	new_DNA_3403	0.745
new_DNA_2852	new_DNA_2228	0.745
new_DNA_2194	new_DNA_2857	0.745
new_DNA_2551	new_DNA_2525	0.745
new_DNA_2194	new_DNA_2858	0.745
new_DNA_2526	new_DNA_2555	0.745
new_DNA_1891	new_DNA_1893	0.745
new_DNA_2614	new_DNA_2186	0.745
new_DNA_3314	new_DNA_1912	0.745
new_DNA_3202	new_DNA_3202	0.745
new_DNA_2852	new_DNA_2175	0.745
new_DNA_2850	new_DNA_2158	0.745
new_DNA_2850	new_DNA_2222	0.745
new_DNA_2854	new_DNA_2234	0.745
new_DNA_2850	new_DNA_2175	0.745
new_DNA_2850	new_DNA_2177	0.745
new_DNA_2188	new_DNA_2858	0.745
new_DNA_2856	new_DNA_2222	0.745
new_DNA_2849	new_DNA_2234	0.745
new_DNA_2851	new_DNA_2222	0.745
new_DNA_2177	new_DNA_2858	0.745
new_DNA_1720	new_DNA_1713	0.745
new_DNA_2186	new_DNA_2617	0.746
new_DNA_2866	new_DNA_3394	0.746
new_DNA_2733	new_DNA_2732	0.75
new_DNA_2541	new_DNA_3118	0.75
new_DNA_3116	new_DNA_2541	0.75
new_DNA_3262	new_DNA_3266	0.75
new_DNA_2541	new_DNA_2547	0.75
new_DNA_3131	new_DNA_3135	0.75
new_DNA_2541	new_DNA_2532	0.75
new_DNA_2541	new_DNA_2546	0.75
new_DNA_2541	new_DNA_2531	0.75
new_DNA_2982	new_DNA_2985	0.75
new_DNA_2549	new_DNA_2541	0.75
new_DNA_2541	new_DNA_2548	0.75
new_DNA_2372	new_DNA_2145	0.75
new_DNA_3088	new_DNA_2539	0.75
new_DNA_2334	new_DNA_2130	0.75
new_DNA_2558	new_DNA_2271	0.75
new_DNA_3278	new_DNA_3110	0.75
new_DNA_2467	new_DNA_2469	0.75
new_DNA_2467	new_DNA_2470	0.75
new_DNA_2541	new_DNA_3111	0.75
new_DNA_2467	new_DNA_2471	0.75
new_DNA_2467	new_DNA_2473	0.75
new_DNA_2534	new_DNA_2541	0.75
new_DNA_2541	new_DNA_3083	0.75
new_DNA_2497	new_DNA_1992	0.75
new_DNA_3088	new_DNA_2541	0.75
new_DNA_2541	new_DNA_3107	0.75
new_DNA_2541	new_DNA_2533	0.75
new_DNA_2541	new_DNA_3331	0.75
new_DNA_2497	new_DNA_2496	0.75
new_DNA_1996	new_DNA_2594	0.75
new_DNA_2400	new_DNA_2404	0.75
new_DNA_2768	new_DNA_2774	0.75
new_DNA_1716	new_DNA_1712	0.75
new_DNA_2405	new_DNA_2400	0.75
new_DNA_2149	new_DNA_2596	0.75
new_DNA_3089	new_DNA_2539	0.75
new_DNA_1992	new_DNA_2495	0.75
new_DNA_2984	new_DNA_2985	0.75
new_DNA_2395	new_DNA_2399	0.75
new_DNA_3027	new_DNA_3114	0.75
new_DNA_3346	new_DNA_3271	0.75
new_DNA_2530	new_DNA_2524	0.75
new_DNA_3279	new_DNA_2860	0.752
new_DNA_3399	new_DNA_2860	0.752
new_DNA_2860	new_DNA_3278	0.752
new_DNA_3351	new_DNA_3394	0.753
new_DNA_2404	new_DNA_2388	0.753
new_DNA_2388	new_DNA_2405	0.753
new_DNA_2527	new_DNA_2555	0.754
new_DNA_2525	new_DNA_2554	0.754
new_DNA_2854	new_DNA_2177	0.754
new_DNA_1892	new_DNA_1892	0.754
new_DNA_2091	new_DNA_1769	0.754
new_DNA_3367	new_DNA_1941	0.754
new_DNA_3006	new_DNA_3021	0.754
new_DNA_2410	new_DNA_2411	0.754
new_DNA_2177	new_DNA_2852	0.754
new_DNA_2240	new_DNA_2613	0.754
new_DNA_2375	new_DNA_2311	0.754
new_DNA_2852	new_DNA_2194	0.754
new_DNA_3076	new_DNA_2149	0.754
new_DNA_2459	new_DNA_2457	0.755
new_DNA_3392	new_DNA_3397	0.755
new_DNA_2330	new_DNA_2356	0.755
new_DNA_2356	new_DNA_2332	0.755
new_DNA_2596	new_DNA_1996	0.755
new_DNA_1676	new_DNA_1652	0.755
new_DNA_1676	new_DNA_1661	0.755
new_DNA_1676	new_DNA_1648	0.755
new_DNA_1676	new_DNA_1649	0.755
new_DNA_1676	new_DNA_1650	0.755
new_DNA_1676	new_DNA_1654	0.755
new_DNA_1676	new_DNA_1660	0.755
new_DNA_1676	new_DNA_1659	0.755
new_DNA_1676	new_DNA_1651	0.755
new_DNA_1676	new_DNA_1658	0.755
new_DNA_1676	new_DNA_1657	0.755
new_DNA_3386	new_DNA_2768	0.756
new_DNA_1802	new_DNA_2148	0.756
new_DNA_3400	new_DNA_3398	0.757
new_DNA_2388	new_DNA_2391	0.757
new_DNA_3394	new_DNA_3278	0.757
new_DNA_3264	new_DNA_3261	0.757
new_DNA_2164	new_DNA_2261	0.757
new_DNA_2865	new_DNA_3078	0.757
new_DNA_3399	new_DNA_3400	0.757
new_DNA_3078	new_DNA_3278	0.757
new_DNA_3279	new_DNA_3398	0.757
new_DNA_3279	new_DNA_3399	0.757
new_DNA_3098	new_DNA_3078	0.757
new_DNA_3397	new_DNA_3352	0.757
new_DNA_2329	new_DNA_3180	0.758
new_DNA_1714	new_DNA_1711	0.758
new_DNA_2852	new_DNA_2188	0.758
new_DNA_3394	new_DNA_1973	0.758
new_DNA_2865	new_DNA_2861	0.758
new_DNA_2301	new_DNA_1876	0.758
new_DNA_2188	new_DNA_2853	0.758
new_DNA_2157	new_DNA_2598	0.758
new_DNA_3394	new_DNA_3352	0.758
new_DNA_2646	new_DNA_2645	0.758
new_DNA_2849	new_DNA_2188	0.758
new_DNA_3350	new_DNA_3394	0.758
new_DNA_3256	new_DNA_1893	0.759
new_DNA_2372	new_DNA_3180	0.759
new_DNA_3180	new_DNA_2130	0.759
new_DNA_3180	new_DNA_1957	0.759
new_DNA_2353	new_DNA_3180	0.759
new_DNA_2866	new_DNA_2870	0.76
new_DNA_2865	new_DNA_3399	0.76
new_DNA_2867	new_DNA_2870	0.76
new_DNA_3279	new_DNA_2865	0.76
new_DNA_3078	new_DNA_3394	0.76
new_DNA_3268	new_DNA_3264	0.76
new_DNA_2865	new_DNA_3398	0.76
new_DNA_2832	new_DNA_2812	0.761
new_DNA_2837	new_DNA_2821	0.761
new_DNA_2844	new_DNA_2838	0.761
new_DNA_2844	new_DNA_2807	0.761
new_DNA_2782	new_DNA_2795	0.761
new_DNA_2844	new_DNA_2812	0.761
new_DNA_2837	new_DNA_2819	0.761
new_DNA_2844	new_DNA_2810	0.761
new_DNA_2844	new_DNA_2845	0.761
new_DNA_2782	new_DNA_2791	0.761
new_DNA_2844	new_DNA_2072	0.761
new_DNA_2844	new_DNA_2819	0.761
new_DNA_2844	new_DNA_2820	0.761
new_DNA_2844	new_DNA_2821	0.761
new_DNA_2832	new_DNA_2846	0.761
new_DNA_2837	new_DNA_2817	0.761
new_DNA_2814	new_DNA_2805	0.761
new_DNA_2841	new_DNA_2782	0.761
new_DNA_2841	new_DNA_2784	0.761
new_DNA_2841	new_DNA_2816	0.761
new_DNA_2841	new_DNA_2786	0.761
new_DNA_2841	new_DNA_2820	0.761
new_DNA_2841	new_DNA_2790	0.761
new_DNA_2841	new_DNA_2792	0.761
new_DNA_2814	new_DNA_2825	0.761
new_DNA_2351	new_DNA_2329	0.761
new_DNA_2805	new_DNA_2817	0.761
new_DNA_2805	new_DNA_2816	0.761
new_DNA_2817	new_DNA_2816	0.761
new_DNA_2817	new_DNA_2786	0.761
new_DNA_2817	new_DNA_2819	0.761
new_DNA_2817	new_DNA_2821	0.761
new_DNA_2841	new_DNA_2795	0.761
new_DNA_2817	new_DNA_2790	0.761
new_DNA_2805	new_DNA_2846	0.761
new_DNA_2805	new_DNA_2815	0.761
new_DNA_2841	new_DNA_2813	0.761
new_DNA_2841	new_DNA_2845	0.761
new_DNA_2844	new_DNA_2798	0.761
new_DNA_2814	new_DNA_2815	0.761
new_DNA_2814	new_DNA_2802	0.761
new_DNA_2837	new_DNA_2806	0.761
new_DNA_2837	new_DNA_2807	0.761
new_DNA_2814	new_DNA_2831	0.761
new_DNA_2837	new_DNA_2842	0.761
new_DNA_2832	new_DNA_2815	0.761
new_DNA_2825	new_DNA_2831	0.761
new_DNA_2782	new_DNA_2826	0.761
new_DNA_2782	new_DNA_2824	0.761
new_DNA_2815	new_DNA_2827	0.761
new_DNA_2815	new_DNA_2786	0.761
new_DNA_2837	new_DNA_2832	0.761
new_DNA_2815	new_DNA_2790	0.761
new_DNA_2814	new_DNA_2845	0.761
new_DNA_2814	new_DNA_2810	0.761
new_DNA_2837	new_DNA_2834	0.761
new_DNA_2814	new_DNA_2072	0.761
new_DNA_2814	new_DNA_2840	0.761
new_DNA_2837	new_DNA_2792	0.761
new_DNA_2797	new_DNA_2845	0.761
new_DNA_2832	new_DNA_2811	0.761
new_DNA_2829	new_DNA_2802	0.761
new_DNA_2829	new_DNA_2831	0.761
new_DNA_2829	new_DNA_2799	0.761
new_DNA_2835	new_DNA_2817	0.761
new_DNA_2835	new_DNA_2787	0.761
new_DNA_2835	new_DNA_2796	0.761
new_DNA_2835	new_DNA_2827	0.761
new_DNA_2831	new_DNA_2795	0.761
new_DNA_2835	new_DNA_2819	0.761
new_DNA_2831	new_DNA_2793	0.761
new_DNA_2829	new_DNA_2803	0.761
new_DNA_2835	new_DNA_2799	0.761
new_DNA_2835	new_DNA_2833	0.761
new_DNA_2835	new_DNA_2838	0.761
new_DNA_2835	new_DNA_2808	0.761
new_DNA_2829	new_DNA_2840	0.761
new_DNA_2829	new_DNA_2806	0.761
new_DNA_2835	new_DNA_2816	0.761
new_DNA_2829	new_DNA_2805	0.761
new_DNA_2835	new_DNA_2798	0.761
new_DNA_2797	new_DNA_2835	0.761
new_DNA_2831	new_DNA_2842	0.761
new_DNA_2797	new_DNA_2809	0.761
new_DNA_2831	new_DNA_2810	0.761
new_DNA_2835	new_DNA_2821	0.761
new_DNA_2831	new_DNA_2803	0.761
new_DNA_2835	new_DNA_2790	0.761
new_DNA_2835	new_DNA_2788	0.761
new_DNA_2835	new_DNA_2789	0.761
new_DNA_2831	new_DNA_2811	0.761
new_DNA_2831	new_DNA_2792	0.761
new_DNA_2831	new_DNA_2820	0.761
new_DNA_2831	new_DNA_2786	0.761
new_DNA_2831	new_DNA_2817	0.761
new_DNA_2831	new_DNA_2816	0.761
new_DNA_2831	new_DNA_2784	0.761
new_DNA_2790	new_DNA_2827	0.761
new_DNA_2799	new_DNA_2846	0.761
new_DNA_2800	new_DNA_2807	0.761
new_DNA_2782	new_DNA_2787	0.761
new_DNA_2782	new_DNA_2784	0.761
new_DNA_2790	new_DNA_2825	0.761
new_DNA_2782	new_DNA_2840	0.761
new_DNA_2782	new_DNA_2807	0.761
new_DNA_2782	new_DNA_2799	0.761
new_DNA_2782	new_DNA_2788	0.761
new_DNA_2837	new_DNA_2827	0.761
new_DNA_2832	new_DNA_2809	0.761
new_DNA_2832	new_DNA_2840	0.761
new_DNA_2832	new_DNA_2805	0.761
new_DNA_2832	new_DNA_2836	0.761
new_DNA_2782	new_DNA_2789	0.761
new_DNA_2832	new_DNA_2804	0.761
new_DNA_2812	new_DNA_2807	0.761
new_DNA_2829	new_DNA_2787	0.761
new_DNA_2829	new_DNA_2784	0.761
new_DNA_2829	new_DNA_2845	0.761
new_DNA_2829	new_DNA_2809	0.761
new_DNA_2799	new_DNA_2841	0.761
new_DNA_2799	new_DNA_2811	0.761
new_DNA_2799	new_DNA_2845	0.761
new_DNA_2829	new_DNA_2795	0.761
new_DNA_2812	new_DNA_2817	0.761
new_DNA_2812	new_DNA_2819	0.761
new_DNA_2829	new_DNA_2788	0.761
new_DNA_2829	new_DNA_2791	0.761
new_DNA_2829	new_DNA_2789	0.761
new_DNA_2817	new_DNA_2846	0.761
new_DNA_2836	new_DNA_2845	0.761
new_DNA_2817	new_DNA_2845	0.761
new_DNA_2813	new_DNA_2788	0.761
new_DNA_2813	new_DNA_2819	0.761
new_DNA_2813	new_DNA_2787	0.761
new_DNA_2813	new_DNA_2785	0.761
new_DNA_2813	new_DNA_2784	0.761
new_DNA_2813	new_DNA_2811	0.761
new_DNA_2813	new_DNA_2810	0.761
new_DNA_2845	new_DNA_2796	0.761
new_DNA_2813	new_DNA_2836	0.761
new_DNA_2813	new_DNA_2803	0.761
new_DNA_2813	new_DNA_2833	0.761
new_DNA_2834	new_DNA_2825	0.761
new_DNA_2813	new_DNA_2789	0.761
new_DNA_2813	new_DNA_2790	0.761
new_DNA_2840	new_DNA_2809	0.761
new_DNA_2840	new_DNA_2816	0.761
new_DNA_2840	new_DNA_2821	0.761
new_DNA_2845	new_DNA_2825	0.761
new_DNA_2345	new_DNA_2340	0.761
new_DNA_2813	new_DNA_2827	0.761
new_DNA_2813	new_DNA_2795	0.761
new_DNA_2813	new_DNA_2793	0.761
new_DNA_2813	new_DNA_2791	0.761
new_DNA_2840	new_DNA_2807	0.761
new_DNA_2834	new_DNA_2791	0.761
new_DNA_2834	new_DNA_2817	0.761
new_DNA_2802	new_DNA_2841	0.761
new_DNA_2802	new_DNA_2840	0.761
new_DNA_2802	new_DNA_2808	0.761
new_DNA_2802	new_DNA_2805	0.761
new_DNA_3028	new_DNA_3026	0.761
new_DNA_2802	new_DNA_2833	0.761
new_DNA_2827	new_DNA_2821	0.761
new_DNA_2827	new_DNA_2820	0.761
new_DNA_2827	new_DNA_2786	0.761
new_DNA_2802	new_DNA_2843	0.761
new_DNA_2834	new_DNA_2811	0.761
new_DNA_2834	new_DNA_2840	0.761
new_DNA_2834	new_DNA_2839	0.761
new_DNA_2834	new_DNA_2805	0.761
new_DNA_2802	new_DNA_2795	0.761
new_DNA_2802	new_DNA_2793	0.761
new_DNA_2802	new_DNA_2791	0.761
new_DNA_2802	new_DNA_2786	0.761
new_DNA_2802	new_DNA_2817	0.761
new_DNA_2802	new_DNA_2783	0.761
new_DNA_2840	new_DNA_2806	0.761
new_DNA_2845	new_DNA_2820	0.761
new_DNA_2845	new_DNA_2791	0.761
new_DNA_2845	new_DNA_2811	0.761
new_DNA_2845	new_DNA_2810	0.761
new_DNA_2808	new_DNA_2803	0.761
new_DNA_2808	new_DNA_2838	0.761
new_DNA_2808	new_DNA_2839	0.761
new_DNA_2808	new_DNA_2811	0.761
new_DNA_2808	new_DNA_2784	0.761
new_DNA_2808	new_DNA_2787	0.761
new_DNA_2788	new_DNA_2825	0.761
new_DNA_2845	new_DNA_2816	0.761
new_DNA_2845	new_DNA_2784	0.761
new_DNA_2845	new_DNA_2786	0.761
new_DNA_2788	new_DNA_2809	0.761
new_DNA_2788	new_DNA_2819	0.761
new_DNA_2788	new_DNA_2821	0.761
new_DNA_2808	new_DNA_2827	0.761
new_DNA_2845	new_DNA_2803	0.761
new_DNA_2845	new_DNA_2833	0.761
new_DNA_2808	new_DNA_2796	0.761
new_DNA_2845	new_DNA_2798	0.761
new_DNA_2840	new_DNA_2836	0.761
new_DNA_2820	new_DNA_2833	0.761
new_DNA_2820	new_DNA_2806	0.761
new_DNA_2820	new_DNA_2807	0.761
new_DNA_2820	new_DNA_2839	0.761
new_DNA_2820	new_DNA_2811	0.761
new_DNA_2820	new_DNA_2843	0.761
new_DNA_2820	new_DNA_2789	0.761
new_DNA_2820	new_DNA_2825	0.761
new_DNA_2827	new_DNA_2842	0.761
new_DNA_2809	new_DNA_2825	0.761
new_DNA_2809	new_DNA_2795	0.761
new_DNA_2809	new_DNA_2796	0.761
new_DNA_2785	new_DNA_2815	0.761
new_DNA_2785	new_DNA_2816	0.761
new_DNA_2805	new_DNA_2838	0.761
new_DNA_2809	new_DNA_2792	0.761
new_DNA_2809	new_DNA_2791	0.761
new_DNA_2809	new_DNA_2804	0.761
new_DNA_2809	new_DNA_2838	0.761
new_DNA_2809	new_DNA_2839	0.761
new_DNA_2809	new_DNA_2072	0.761
new_DNA_2809	new_DNA_2841	0.761
new_DNA_2809	new_DNA_2843	0.761
new_DNA_2809	new_DNA_2816	0.761
new_DNA_2809	new_DNA_2786	0.761
new_DNA_2809	new_DNA_2787	0.761
new_DNA_2809	new_DNA_2819	0.761
new_DNA_2805	new_DNA_2807	0.761
new_DNA_2841	new_DNA_2805	0.761
new_DNA_2841	new_DNA_2806	0.761
new_DNA_2817	new_DNA_2804	0.761
new_DNA_2817	new_DNA_2838	0.761
new_DNA_2817	new_DNA_2833	0.761
new_DNA_2815	new_DNA_2811	0.761
new_DNA_2805	new_DNA_2811	0.761
new_DNA_2815	new_DNA_2843	0.761
new_DNA_3027	new_DNA_2135	0.761
new_DNA_2841	new_DNA_2803	0.761
new_DNA_2841	new_DNA_2836	0.761
new_DNA_2809	new_DNA_2803	0.761
new_DNA_2809	new_DNA_2833	0.761
new_DNA_2790	new_DNA_2811	0.761
new_DNA_2791	new_DNA_2825	0.761
new_DNA_2791	new_DNA_2811	0.761
new_DNA_2791	new_DNA_2839	0.761
new_DNA_2791	new_DNA_2836	0.761
new_DNA_2795	new_DNA_2072	0.761
new_DNA_2827	new_DNA_2836	0.761
new_DNA_2795	new_DNA_2825	0.761
new_DNA_2795	new_DNA_2846	0.761
new_DNA_2795	new_DNA_2811	0.761
new_DNA_2803	new_DNA_2810	0.761
new_DNA_2803	new_DNA_2811	0.761
new_DNA_2803	new_DNA_2843	0.761
new_DNA_2803	new_DNA_2838	0.761
new_DNA_2803	new_DNA_2816	0.761
new_DNA_2803	new_DNA_2804	0.761
new_DNA_2399	new_DNA_2388	0.761
new_DNA_2388	new_DNA_2400	0.761
new_DNA_3098	new_DNA_3098	0.761
new_DNA_2811	new_DNA_2786	0.761
new_DNA_2793	new_DNA_2846	0.761
new_DNA_2305	new_DNA_2340	0.761
new_DNA_2811	new_DNA_2842	0.761
new_DNA_2811	new_DNA_2846	0.761
new_DNA_2807	new_DNA_2838	0.761
new_DNA_2807	new_DNA_2833	0.761
new_DNA_2796	new_DNA_2819	0.761
new_DNA_2843	new_DNA_2804	0.761
new_DNA_2843	new_DNA_2836	0.761
new_DNA_2843	new_DNA_2807	0.761
new_DNA_2843	new_DNA_2839	0.761
new_DNA_2836	new_DNA_2833	0.761
new_DNA_2836	new_DNA_2806	0.761
new_DNA_2810	new_DNA_2825	0.761
new_DNA_2811	new_DNA_2810	0.761
new_DNA_2072	new_DNA_2836	0.761
new_DNA_2807	new_DNA_2816	0.761
new_DNA_2836	new_DNA_2792	0.761
new_DNA_2072	new_DNA_2806	0.761
new_DNA_2825	new_DNA_2846	0.761
new_DNA_2825	new_DNA_2784	0.761
new_DNA_2072	new_DNA_2810	0.761
new_DNA_2072	new_DNA_2839	0.761
new_DNA_2842	new_DNA_2806	0.761
new_DNA_2825	new_DNA_2789	0.761
new_DNA_2784	new_DNA_2804	0.761
new_DNA_2843	new_DNA_2846	0.761
new_DNA_2787	new_DNA_2821	0.761
new_DNA_2787	new_DNA_2825	0.761
new_DNA_2819	new_DNA_2833	0.761
new_DNA_2789	new_DNA_2819	0.761
new_DNA_2789	new_DNA_2816	0.761
new_DNA_2793	new_DNA_2807	0.761
new_DNA_2804	new_DNA_2825	0.761
new_DNA_2825	new_DNA_2816	0.761
new_DNA_2819	new_DNA_2786	0.761
new_DNA_2819	new_DNA_2843	0.761
new_DNA_2843	new_DNA_2825	0.761
new_DNA_2810	new_DNA_2838	0.761
new_DNA_2821	new_DNA_2786	0.761
new_DNA_2821	new_DNA_2816	0.761
new_DNA_2821	new_DNA_2798	0.761
new_DNA_2836	new_DNA_2798	0.761
new_DNA_2789	new_DNA_2836	0.761
