query	target	fident
new_RNA_954	new_RNA_957	0.95
new_RNA_954	new_RNA_964	0.95
new_RNA_960	new_RNA_953	0.95
new_RNA_959	new_RNA_956	0.95
new_RNA_959	new_RNA_957	0.95
new_RNA_959	new_RNA_964	0.95
new_RNA_961	new_RNA_952	0.95
new_RNA_953	new_RNA_958	0.95
new_RNA_953	new_RNA_964	0.95
new_RNA_964	new_RNA_965	0.95
new_RNA_964	new_RNA_958	0.95
new_RNA_964	new_RNA_964	0.95
new_RNA_964	new_RNA_957	0.95
new_RNA_964	new_RNA_956	0.95
new_RNA_964	new_RNA_952	0.95
new_RNA_952	new_RNA_952	0.95
new_RNA_954	new_RNA_958	0.95
new_RNA_954	new_RNA_959	0.95
new_RNA_952	new_RNA_965	0.95
new_RNA_952	new_RNA_966	0.95
new_RNA_956	new_RNA_966	0.95
new_RNA_956	new_RNA_965	0.95
new_RNA_956	new_RNA_962	0.95
new_RNA_956	new_RNA_961	0.95
new_RNA_952	new_RNA_962	0.95
new_RNA_956	new_RNA_952	0.95
new_RNA_956	new_RNA_956	0.95
new_RNA_956	new_RNA_957	0.95
new_RNA_956	new_RNA_958	0.95
new_RNA_954	new_RNA_961	0.95
new_RNA_954	new_RNA_962	0.95
new_RNA_954	new_RNA_965	0.95
new_RNA_954	new_RNA_966	0.95
new_RNA_953	new_RNA_953	0.95
new_RNA_952	new_RNA_957	0.95
new_RNA_952	new_RNA_958	0.95
new_RNA_952	new_RNA_959	0.95
new_RNA_959	new_RNA_953	0.95
new_RNA_962	new_RNA_957	0.95
new_RNA_962	new_RNA_953	0.95
new_RNA_953	new_RNA_966	0.95
new_RNA_953	new_RNA_965	0.95
new_RNA_965	new_RNA_957	0.95
new_RNA_957	new_RNA_957	0.95
new_RNA_957	new_RNA_958	0.95
new_RNA_957	new_RNA_961	0.95
new_RNA_944	new_RNA_944	0.95
new_RNA_953	new_RNA_961	0.95
new_RNA_956	new_RNA_955	0.952
new_RNA_952	new_RNA_955	0.952
new_RNA_957	new_RNA_966	0.952
new_RNA_957	new_RNA_955	0.952
new_RNA_964	new_RNA_955	0.952
new_RNA_964	new_RNA_966	0.952
new_RNA_942	new_RNA_942	0.952
new_RNA_985	new_RNA_984	0.961
new_RNA_984	new_RNA_986	0.961
new_RNA_986	new_RNA_986	0.961
new_RNA_986	new_RNA_985	0.962
new_RNA_928	new_RNA_981	0.968
new_RNA_987	new_RNA_988	0.972
new_RNA_960	new_RNA_965	0.974
new_RNA_962	new_RNA_966	0.974
new_RNA_961	new_RNA_965	0.974
new_RNA_961	new_RNA_966	0.974
new_RNA_962	new_RNA_965	0.974
new_RNA_960	new_RNA_966	0.974
new_RNA_962	new_RNA_961	1.0
new_RNA_962	new_RNA_958	1.0
new_RNA_962	new_RNA_960	1.0
new_RNA_962	new_RNA_959	1.0
new_RNA_962	new_RNA_962	1.0
new_RNA_993	new_RNA_992	1.0
new_RNA_993	new_RNA_993	1.0
new_RNA_993	new_RNA_926	1.0
new_RNA_993	new_RNA_989	1.0
new_RNA_993	new_RNA_990	1.0
new_RNA_993	new_RNA_991	1.0
new_RNA_939	new_RNA_939	1.0
new_RNA_971	new_RNA_971	1.0
new_RNA_940	new_RNA_940	1.0
new_RNA_949	new_RNA_949	1.0
new_RNA_978	new_RNA_978	1.0
new_RNA_951	new_RNA_951	1.0
new_RNA_919	new_RNA_919	1.0
new_RNA_951	new_RNA_950	1.0
new_RNA_983	new_RNA_983	1.0
new_RNA_982	new_RNA_982	1.0
new_RNA_912	new_RNA_912	1.0
new_RNA_914	new_RNA_914	1.0
new_RNA_995	new_RNA_995	1.0
new_RNA_963	new_RNA_963	1.0
new_RNA_994	new_RNA_994	1.0
new_RNA_985	new_RNA_985	1.0
new_RNA_972	new_RNA_972	1.0
new_RNA_973	new_RNA_973	1.0
new_RNA_947	new_RNA_947	1.0
new_RNA_992	new_RNA_992	1.0
new_RNA_950	new_RNA_950	1.0
new_RNA_948	new_RNA_948	1.0
new_RNA_918	new_RNA_918	1.0
new_RNA_984	new_RNA_984	1.0
new_RNA_948	new_RNA_949	1.0
new_RNA_980	new_RNA_980	1.0
new_RNA_917	new_RNA_917	1.0
new_RNA_981	new_RNA_981	1.0
new_RNA_941	new_RNA_941	1.0
new_RNA_992	new_RNA_926	1.0
new_RNA_992	new_RNA_991	1.0
new_RNA_974	new_RNA_974	1.0
new_RNA_943	new_RNA_943	1.0
new_RNA_961	new_RNA_961	1.0
new_RNA_961	new_RNA_960	1.0
new_RNA_961	new_RNA_959	1.0
new_RNA_961	new_RNA_958	1.0
new_RNA_992	new_RNA_989	1.0
new_RNA_992	new_RNA_990	1.0
new_RNA_989	new_RNA_989	1.0
new_RNA_989	new_RNA_990	1.0
new_RNA_989	new_RNA_991	1.0
new_RNA_931	new_RNA_931	1.0
new_RNA_930	new_RNA_930	1.0
new_RNA_929	new_RNA_929	1.0
new_RNA_926	new_RNA_926	1.0
new_RNA_925	new_RNA_925	1.0
new_RNA_988	new_RNA_988	1.0
new_RNA_928	new_RNA_928	1.0
new_RNA_989	new_RNA_926	1.0
new_RNA_958	new_RNA_966	1.0
new_RNA_958	new_RNA_965	1.0
new_RNA_958	new_RNA_960	1.0
new_RNA_958	new_RNA_959	1.0
new_RNA_958	new_RNA_958	1.0
new_RNA_991	new_RNA_991	1.0
new_RNA_926	new_RNA_990	1.0
new_RNA_926	new_RNA_991	1.0
new_RNA_990	new_RNA_990	1.0
new_RNA_927	new_RNA_927	1.0
new_RNA_966	new_RNA_965	1.0
new_RNA_966	new_RNA_959	1.0
new_RNA_966	new_RNA_966	1.0
new_RNA_934	new_RNA_934	1.0
new_RNA_997	new_RNA_997	1.0
new_RNA_933	new_RNA_933	1.0
new_RNA_996	new_RNA_996	1.0
new_RNA_932	new_RNA_932	1.0
new_RNA_970	new_RNA_970	1.0
new_RNA_938	new_RNA_938	1.0
new_RNA_1001	new_RNA_1001	1.0
new_RNA_937	new_RNA_937	1.0
new_RNA_1000	new_RNA_1000	1.0
new_RNA_968	new_RNA_968	1.0
new_RNA_936	new_RNA_936	1.0
new_RNA_998	new_RNA_998	1.0
new_RNA_935	new_RNA_935	1.0
new_RNA_967	new_RNA_967	1.0
new_RNA_946	new_RNA_946	1.0
new_RNA_955	new_RNA_955	1.0
new_RNA_977	new_RNA_977	1.0
new_RNA_911	new_RNA_911	1.0
new_RNA_924	new_RNA_924	1.0
new_RNA_990	new_RNA_991	1.0
new_RNA_965	new_RNA_965	1.0
new_RNA_965	new_RNA_959	1.0
new_RNA_932	new_RNA_933	1.0
new_RNA_936	new_RNA_937	1.0
new_RNA_976	new_RNA_976	1.0
new_RNA_959	new_RNA_960	1.0
new_RNA_959	new_RNA_959	1.0
new_RNA_960	new_RNA_960	1.0
