cluster_index	protein_index	cluster_number	cluster_member
Cluster_36	new_DNA_2255	4	new_DNA_2255,new_DNA_2257,new_DNA_1988,new_DNA_2245
Cluster_36	new_DNA_2257	4	new_DNA_2255,new_DNA_2257,new_DNA_1988,new_DNA_2245
Cluster_36	new_DNA_1988	4	new_DNA_2255,new_DNA_2257,new_DNA_1988,new_DNA_2245
Cluster_36	new_DNA_2245	4	new_DNA_2255,new_DNA_2257,new_DNA_1988,new_DNA_2245
Cluster_37	new_DNA_2287	1	new_DNA_2287
Cluster_38	new_DNA_2319	1	new_DNA_2319
Cluster_39	new_DNA_2351	1	new_DNA_2351
Cluster_40	new_DNA_2415	1	new_DNA_2415
Cluster_41	new_DNA_2447	1	new_DNA_2447
Cluster_42	new_DNA_2479	1	new_DNA_2479
Cluster_43	new_DNA_2511	1	new_DNA_2511
Cluster_44	new_DNA_2161	1	new_DNA_2161
Cluster_45	new_DNA_2193	1	new_DNA_2193
Cluster_46	new_DNA_2289	1	new_DNA_2289
Cluster_47	new_DNA_2321	1	new_DNA_2321
Cluster_48	new_DNA_2449	1	new_DNA_2449
Cluster_49	new_DNA_2481	1	new_DNA_2481
Cluster_50	new_DNA_2609	1	new_DNA_2609
Cluster_51	new_DNA_2642	1	new_DNA_2642
Cluster_52	new_DNA_2674	1	new_DNA_2674
Cluster_53	new_DNA_2706	1	new_DNA_2706
Cluster_54	new_DNA_2738	1	new_DNA_2738
Cluster_55	new_DNA_2770	1	new_DNA_2770
Cluster_56	new_DNA_2834	5	new_DNA_2834,new_DNA_2804,new_DNA_2846,new_DNA_2815,new_DNA_2816
Cluster_56	new_DNA_2804	5	new_DNA_2834,new_DNA_2804,new_DNA_2846,new_DNA_2815,new_DNA_2816
Cluster_56	new_DNA_2846	5	new_DNA_2834,new_DNA_2804,new_DNA_2846,new_DNA_2815,new_DNA_2816
Cluster_56	new_DNA_2815	5	new_DNA_2834,new_DNA_2804,new_DNA_2846,new_DNA_2815,new_DNA_2816
Cluster_56	new_DNA_2816	5	new_DNA_2834,new_DNA_2804,new_DNA_2846,new_DNA_2815,new_DNA_2816
Cluster_57	new_DNA_2866	1	new_DNA_2866
Cluster_58	new_DNA_2898	1	new_DNA_2898
Cluster_59	new_DNA_2962	1	new_DNA_2962
Cluster_60	new_DNA_2994	2	new_DNA_2994,new_DNA_2413
Cluster_60	new_DNA_2413	2	new_DNA_2994,new_DNA_2413
Cluster_61	new_DNA_3120	1	new_DNA_3120
Cluster_62	new_DNA_3152	1	new_DNA_3152
Cluster_63	new_DNA_3184	3	new_DNA_3184,new_DNA_3183,new_DNA_1836
Cluster_63	new_DNA_3183	3	new_DNA_3184,new_DNA_3183,new_DNA_1836
Cluster_63	new_DNA_1836	3	new_DNA_3184,new_DNA_3183,new_DNA_1836
Cluster_64	new_DNA_3215	1	new_DNA_3215
Cluster_65	new_DNA_3247	1	new_DNA_3247
Cluster_66	new_DNA_3279	10	new_DNA_3279,new_DNA_1973,new_DNA_3350,new_DNA_3351,new_DNA_3352,new_DNA_3110,new_DNA_3398,new_DNA_3399,new_DNA_3400,new_DNA_3098
Cluster_66	new_DNA_1973	10	new_DNA_3279,new_DNA_1973,new_DNA_3350,new_DNA_3351,new_DNA_3352,new_DNA_3110,new_DNA_3398,new_DNA_3399,new_DNA_3400,new_DNA_3098
Cluster_66	new_DNA_3350	10	new_DNA_3279,new_DNA_1973,new_DNA_3350,new_DNA_3351,new_DNA_3352,new_DNA_3110,new_DNA_3398,new_DNA_3399,new_DNA_3400,new_DNA_3098
Cluster_66	new_DNA_3351	10	new_DNA_3279,new_DNA_1973,new_DNA_3350,new_DNA_3351,new_DNA_3352,new_DNA_3110,new_DNA_3398,new_DNA_3399,new_DNA_3400,new_DNA_3098
Cluster_66	new_DNA_3352	10	new_DNA_3279,new_DNA_1973,new_DNA_3350,new_DNA_3351,new_DNA_3352,new_DNA_3110,new_DNA_3398,new_DNA_3399,new_DNA_3400,new_DNA_3098
Cluster_66	new_DNA_3110	10	new_DNA_3279,new_DNA_1973,new_DNA_3350,new_DNA_3351,new_DNA_3352,new_DNA_3110,new_DNA_3398,new_DNA_3399,new_DNA_3400,new_DNA_3098
Cluster_66	new_DNA_3398	10	new_DNA_3279,new_DNA_1973,new_DNA_3350,new_DNA_3351,new_DNA_3352,new_DNA_3110,new_DNA_3398,new_DNA_3399,new_DNA_3400,new_DNA_3098
Cluster_66	new_DNA_3399	10	new_DNA_3279,new_DNA_1973,new_DNA_3350,new_DNA_3351,new_DNA_3352,new_DNA_3110,new_DNA_3398,new_DNA_3399,new_DNA_3400,new_DNA_3098
Cluster_66	new_DNA_3400	10	new_DNA_3279,new_DNA_1973,new_DNA_3350,new_DNA_3351,new_DNA_3352,new_DNA_3110,new_DNA_3398,new_DNA_3399,new_DNA_3400,new_DNA_3098
Cluster_66	new_DNA_3098	10	new_DNA_3279,new_DNA_1973,new_DNA_3350,new_DNA_3351,new_DNA_3352,new_DNA_3110,new_DNA_3398,new_DNA_3399,new_DNA_3400,new_DNA_3098
Cluster_67	new_DNA_3311	4	new_DNA_3311,new_DNA_3312,new_DNA_3313,new_DNA_1972
Cluster_67	new_DNA_3312	4	new_DNA_3311,new_DNA_3312,new_DNA_3313,new_DNA_1972
Cluster_67	new_DNA_3313	4	new_DNA_3311,new_DNA_3312,new_DNA_3313,new_DNA_1972
Cluster_67	new_DNA_1972	4	new_DNA_3311,new_DNA_3312,new_DNA_3313,new_DNA_1972
Cluster_68	new_DNA_3343	1	new_DNA_3343
Cluster_69	new_DNA_3374	1	new_DNA_3374
Cluster_70	new_DNA_3406	1	new_DNA_3406
Cluster_71	new_DNA_1616	1	new_DNA_1616
Cluster_72	new_DNA_1714	1	new_DNA_1714
Cluster_73	new_DNA_1810	1	new_DNA_1810
Cluster_74	new_DNA_1842	5	new_DNA_1842,new_DNA_1923,new_DNA_3205,new_DNA_3206,new_DNA_1929
Cluster_74	new_DNA_1923	5	new_DNA_1842,new_DNA_1923,new_DNA_3205,new_DNA_3206,new_DNA_1929
Cluster_74	new_DNA_3205	5	new_DNA_1842,new_DNA_1923,new_DNA_3205,new_DNA_3206,new_DNA_1929
Cluster_74	new_DNA_3206	5	new_DNA_1842,new_DNA_1923,new_DNA_3205,new_DNA_3206,new_DNA_1929
Cluster_74	new_DNA_1929	5	new_DNA_1842,new_DNA_1923,new_DNA_3205,new_DNA_3206,new_DNA_1929
Cluster_75	new_DNA_1874	1	new_DNA_1874
Cluster_76	new_DNA_1906	1	new_DNA_1906
Cluster_77	new_DNA_1938	3	new_DNA_1938,new_DNA_2132,new_DNA_1898
Cluster_77	new_DNA_2132	3	new_DNA_1938,new_DNA_2132,new_DNA_1898
Cluster_77	new_DNA_1898	3	new_DNA_1938,new_DNA_2132,new_DNA_1898
Cluster_78	new_DNA_1970	1	new_DNA_1970
Cluster_79	new_DNA_2002	1	new_DNA_2002
Cluster_80	new_DNA_2034	1	new_DNA_2034
Cluster_81	new_DNA_2162	1	new_DNA_2162
Cluster_82	new_DNA_2226	1	new_DNA_2226
Cluster_83	new_DNA_2258	1	new_DNA_2258
Cluster_84	new_DNA_2290	1	new_DNA_2290
Cluster_85	new_DNA_2322	1	new_DNA_2322
Cluster_86	new_DNA_2354	1	new_DNA_2354
Cluster_87	new_DNA_2386	2	new_DNA_2386,new_DNA_2385
Cluster_87	new_DNA_2385	2	new_DNA_2386,new_DNA_2385
Cluster_88	new_DNA_2450	1	new_DNA_2450
Cluster_89	new_DNA_2482	1	new_DNA_2482
Cluster_90	new_DNA_2514	5	new_DNA_2514,new_DNA_2508,new_DNA_2517,new_DNA_3329,new_DNA_2507
Cluster_90	new_DNA_2508	5	new_DNA_2514,new_DNA_2508,new_DNA_2517,new_DNA_3329,new_DNA_2507
Cluster_90	new_DNA_2517	5	new_DNA_2514,new_DNA_2508,new_DNA_2517,new_DNA_3329,new_DNA_2507
Cluster_90	new_DNA_3329	5	new_DNA_2514,new_DNA_2508,new_DNA_2517,new_DNA_3329,new_DNA_2507
Cluster_90	new_DNA_2507	5	new_DNA_2514,new_DNA_2508,new_DNA_2517,new_DNA_3329,new_DNA_2507
Cluster_91	new_DNA_2578	1	new_DNA_2578
Cluster_92	new_DNA_2610	2	new_DNA_2610,new_DNA_2606
Cluster_92	new_DNA_2606	2	new_DNA_2610,new_DNA_2606
Cluster_93	new_DNA_2643	2	new_DNA_2643,new_DNA_1740
Cluster_93	new_DNA_1740	2	new_DNA_2643,new_DNA_1740
Cluster_94	new_DNA_2675	1	new_DNA_2675
Cluster_95	new_DNA_2739	1	new_DNA_2739
Cluster_96	new_DNA_2771	1	new_DNA_2771
Cluster_97	new_DNA_2803	1	new_DNA_2803
Cluster_98	new_DNA_2835	3	new_DNA_2835,new_DNA_2802,new_DNA_2807
Cluster_98	new_DNA_2802	3	new_DNA_2835,new_DNA_2802,new_DNA_2807
Cluster_98	new_DNA_2807	3	new_DNA_2835,new_DNA_2802,new_DNA_2807
Cluster_99	new_DNA_2899	1	new_DNA_2899
Cluster_100	new_DNA_2931	2	new_DNA_2931,new_DNA_2930
Cluster_100	new_DNA_2930	2	new_DNA_2931,new_DNA_2930
Cluster_101	new_DNA_2963	1	new_DNA_2963
Cluster_102	new_DNA_2995	1	new_DNA_2995
Cluster_103	new_DNA_3027	1	new_DNA_3027
Cluster_104	new_DNA_3058	1	new_DNA_3058
Cluster_105	new_DNA_3121	1	new_DNA_3121
Cluster_106	new_DNA_3216	1	new_DNA_3216
Cluster_107	new_DNA_3248	1	new_DNA_3248
Cluster_108	new_DNA_3280	2	new_DNA_3280,new_DNA_2254
Cluster_108	new_DNA_2254	2	new_DNA_3280,new_DNA_2254
Cluster_109	new_DNA_3375	1	new_DNA_3375
Cluster_110	new_DNA_3407	1	new_DNA_3407
Cluster_111	new_DNA_1617	1	new_DNA_1617
Cluster_112	new_DNA_2782	1	new_DNA_2782
Cluster_113	new_DNA_2814	1	new_DNA_2814
Cluster_114	new_DNA_2878	1	new_DNA_2878
Cluster_115	new_DNA_2910	1	new_DNA_2910
Cluster_116	new_DNA_2974	1	new_DNA_2974
Cluster_117	new_DNA_3006	1	new_DNA_3006
Cluster_118	new_DNA_3038	1	new_DNA_3038
Cluster_119	new_DNA_3164	3	new_DNA_3164,new_DNA_1819,new_DNA_3165
Cluster_119	new_DNA_1819	3	new_DNA_3164,new_DNA_1819,new_DNA_3165
Cluster_119	new_DNA_3165	3	new_DNA_3164,new_DNA_1819,new_DNA_3165
Cluster_120	new_DNA_3196	1	new_DNA_3196
Cluster_121	new_DNA_3227	1	new_DNA_3227
Cluster_122	new_DNA_3259	1	new_DNA_3259
Cluster_123	new_DNA_3291	1	new_DNA_3291
Cluster_124	new_DNA_3355	1	new_DNA_3355
Cluster_125	new_DNA_3386	1	new_DNA_3386
Cluster_126	new_DNA_1630	1	new_DNA_1630
Cluster_127	new_DNA_1694	1	new_DNA_1694
Cluster_128	new_DNA_1726	1	new_DNA_1726
Cluster_129	new_DNA_1790	1	new_DNA_1790
Cluster_130	new_DNA_1822	1	new_DNA_1822
Cluster_131	new_DNA_1854	1	new_DNA_1854
Cluster_132	new_DNA_1886	1	new_DNA_1886
Cluster_133	new_DNA_1918	1	new_DNA_1918
Cluster_134	new_DNA_1950	1	new_DNA_1950
Cluster_135	new_DNA_1982	1	new_DNA_1982
Cluster_136	new_DNA_2014	1	new_DNA_2014
Cluster_137	new_DNA_2142	1	new_DNA_2142
Cluster_138	new_DNA_2238	2	new_DNA_2238,new_DNA_2605
Cluster_138	new_DNA_2605	2	new_DNA_2238,new_DNA_2605
Cluster_139	new_DNA_2270	1	new_DNA_2270
Cluster_140	new_DNA_2302	1	new_DNA_2302
Cluster_141	new_DNA_2334	1	new_DNA_2334
Cluster_142	new_DNA_2366	1	new_DNA_2366
Cluster_143	new_DNA_2398	1	new_DNA_2398
Cluster_144	new_DNA_2430	1	new_DNA_2430
Cluster_145	new_DNA_2462	1	new_DNA_2462
Cluster_146	new_DNA_2494	2	new_DNA_2494,new_DNA_2497
Cluster_146	new_DNA_2497	2	new_DNA_2494,new_DNA_2497
Cluster_147	new_DNA_2590	1	new_DNA_2590
Cluster_148	new_DNA_2622	1	new_DNA_2622
Cluster_149	new_DNA_2655	1	new_DNA_2655
Cluster_150	new_DNA_2687	1	new_DNA_2687
Cluster_151	new_DNA_2719	1	new_DNA_2719
Cluster_152	new_DNA_2751	1	new_DNA_2751
Cluster_153	new_DNA_2847	1	new_DNA_2847
Cluster_154	new_DNA_2911	1	new_DNA_2911
Cluster_155	new_DNA_2975	1	new_DNA_2975
Cluster_156	new_DNA_3007	1	new_DNA_3007
Cluster_157	new_DNA_3039	1	new_DNA_3039
Cluster_158	new_DNA_3101	4	new_DNA_3101,new_DNA_3115,new_DNA_2747,new_DNA_2748
Cluster_158	new_DNA_3115	4	new_DNA_3101,new_DNA_3115,new_DNA_2747,new_DNA_2748
Cluster_158	new_DNA_2747	4	new_DNA_3101,new_DNA_3115,new_DNA_2747,new_DNA_2748
Cluster_158	new_DNA_2748	4	new_DNA_3101,new_DNA_3115,new_DNA_2747,new_DNA_2748
Cluster_159	new_DNA_3133	1	new_DNA_3133
Cluster_160	new_DNA_3197	1	new_DNA_3197
Cluster_161	new_DNA_3228	1	new_DNA_3228
Cluster_162	new_DNA_3260	1	new_DNA_3260
Cluster_163	new_DNA_3292	1	new_DNA_3292
Cluster_164	new_DNA_3324	1	new_DNA_3324
Cluster_165	new_DNA_3356	1	new_DNA_3356
Cluster_166	new_DNA_3387	1	new_DNA_3387
Cluster_167	new_DNA_1631	1	new_DNA_1631
Cluster_168	new_DNA_1695	1	new_DNA_1695
Cluster_169	new_DNA_1727	1	new_DNA_1727
Cluster_170	new_DNA_1791	1	new_DNA_1791
Cluster_171	new_DNA_1823	1	new_DNA_1823
Cluster_172	new_DNA_1855	1	new_DNA_1855
Cluster_173	new_DNA_1887	5	new_DNA_1887,new_DNA_1888,new_DNA_1889,new_DNA_3253,new_DNA_3252
Cluster_173	new_DNA_1888	5	new_DNA_1887,new_DNA_1888,new_DNA_1889,new_DNA_3253,new_DNA_3252
Cluster_173	new_DNA_1889	5	new_DNA_1887,new_DNA_1888,new_DNA_1889,new_DNA_3253,new_DNA_3252
Cluster_173	new_DNA_3253	5	new_DNA_1887,new_DNA_1888,new_DNA_1889,new_DNA_3253,new_DNA_3252
Cluster_173	new_DNA_3252	5	new_DNA_1887,new_DNA_1888,new_DNA_1889,new_DNA_3253,new_DNA_3252
Cluster_174	new_DNA_1919	1	new_DNA_1919
Cluster_175	new_DNA_1951	1	new_DNA_1951
Cluster_176	new_DNA_1983	1	new_DNA_1983
Cluster_177	new_DNA_2047	1	new_DNA_2047
Cluster_178	new_DNA_2079	1	new_DNA_2079
Cluster_179	new_DNA_2143	1	new_DNA_2143
Cluster_180	new_DNA_2207	1	new_DNA_2207
Cluster_181	new_DNA_2239	1	new_DNA_2239
Cluster_182	new_DNA_2303	1	new_DNA_2303
Cluster_183	new_DNA_2367	1	new_DNA_2367
Cluster_184	new_DNA_3162	1	new_DNA_3162
Cluster_185	new_DNA_3194	1	new_DNA_3194
Cluster_186	new_DNA_3225	1	new_DNA_3225
Cluster_187	new_DNA_3257	1	new_DNA_3257
Cluster_188	new_DNA_3289	1	new_DNA_3289
Cluster_189	new_DNA_3353	1	new_DNA_3353
Cluster_190	new_DNA_3384	1	new_DNA_3384
Cluster_191	new_DNA_1628	1	new_DNA_1628
Cluster_192	new_DNA_1692	1	new_DNA_1692
Cluster_193	new_DNA_1724	1	new_DNA_1724
Cluster_194	new_DNA_1788	1	new_DNA_1788
Cluster_195	new_DNA_1820	1	new_DNA_1820
Cluster_196	new_DNA_1852	1	new_DNA_1852
Cluster_197	new_DNA_1884	1	new_DNA_1884
Cluster_198	new_DNA_1916	1	new_DNA_1916
Cluster_199	new_DNA_1948	1	new_DNA_1948
Cluster_200	new_DNA_1980	2	new_DNA_1980,new_DNA_3318
Cluster_200	new_DNA_3318	2	new_DNA_1980,new_DNA_3318
Cluster_201	new_DNA_2012	1	new_DNA_2012
Cluster_202	new_DNA_2076	1	new_DNA_2076
Cluster_203	new_DNA_2140	1	new_DNA_2140
Cluster_204	new_DNA_2268	1	new_DNA_2268
Cluster_205	new_DNA_2300	1	new_DNA_2300
Cluster_206	new_DNA_2332	2	new_DNA_2332,new_DNA_2330
Cluster_206	new_DNA_2330	2	new_DNA_2332,new_DNA_2330
Cluster_207	new_DNA_2364	1	new_DNA_2364
Cluster_208	new_DNA_2396	1	new_DNA_2396
Cluster_209	new_DNA_2428	1	new_DNA_2428
Cluster_210	new_DNA_2492	1	new_DNA_2492
Cluster_211	new_DNA_2524	1	new_DNA_2524
Cluster_212	new_DNA_2588	1	new_DNA_2588
Cluster_213	new_DNA_2620	1	new_DNA_2620
Cluster_214	new_DNA_2653	2	new_DNA_2653,new_DNA_2652
Cluster_214	new_DNA_2652	2	new_DNA_2653,new_DNA_2652
Cluster_215	new_DNA_2685	2	new_DNA_2685,new_DNA_2042
Cluster_215	new_DNA_2042	2	new_DNA_2685,new_DNA_2042
Cluster_216	new_DNA_2717	1	new_DNA_2717
Cluster_217	new_DNA_2749	1	new_DNA_2749
Cluster_218	new_DNA_2781	1	new_DNA_2781
Cluster_219	new_DNA_2845	2	new_DNA_2845,new_DNA_2831
Cluster_219	new_DNA_2831	2	new_DNA_2845,new_DNA_2831
Cluster_220	new_DNA_2877	1	new_DNA_2877
Cluster_221	new_DNA_2909	1	new_DNA_2909
Cluster_222	new_DNA_2973	1	new_DNA_2973
Cluster_223	new_DNA_3005	1	new_DNA_3005
Cluster_224	new_DNA_3037	1	new_DNA_3037
Cluster_225	new_DNA_3068	3	new_DNA_3068,new_DNA_3410,new_DNA_3411
Cluster_225	new_DNA_3410	3	new_DNA_3068,new_DNA_3410,new_DNA_3411
Cluster_225	new_DNA_3411	3	new_DNA_3068,new_DNA_3410,new_DNA_3411
Cluster_226	new_DNA_3099	1	new_DNA_3099
Cluster_227	new_DNA_3163	1	new_DNA_3163
Cluster_228	new_DNA_3195	1	new_DNA_3195
Cluster_229	new_DNA_3226	1	new_DNA_3226
Cluster_230	new_DNA_3258	1	new_DNA_3258
Cluster_231	new_DNA_3290	2	new_DNA_3290,new_DNA_1814
Cluster_231	new_DNA_1814	2	new_DNA_3290,new_DNA_1814
Cluster_232	new_DNA_3354	1	new_DNA_3354
Cluster_233	new_DNA_3385	1	new_DNA_3385
Cluster_234	new_DNA_1629	1	new_DNA_1629
Cluster_235	new_DNA_1693	1	new_DNA_1693
Cluster_236	new_DNA_1725	1	new_DNA_1725
Cluster_237	new_DNA_1789	1	new_DNA_1789
Cluster_238	new_DNA_1821	1	new_DNA_1821
Cluster_239	new_DNA_1853	1	new_DNA_1853
Cluster_240	new_DNA_1885	1	new_DNA_1885
Cluster_241	new_DNA_1917	1	new_DNA_1917
Cluster_242	new_DNA_1949	1	new_DNA_1949
Cluster_243	new_DNA_1981	1	new_DNA_1981
Cluster_244	new_DNA_2013	1	new_DNA_2013
Cluster_245	new_DNA_2045	1	new_DNA_2045
Cluster_246	new_DNA_2077	1	new_DNA_2077
Cluster_247	new_DNA_2141	1	new_DNA_2141
Cluster_248	new_DNA_2173	1	new_DNA_2173
Cluster_249	new_DNA_2205	2	new_DNA_2205,new_DNA_2710
