cluster_index	protein_index	cluster_number	cluster_member
Cluster_45	ssRNA575	1	ssRNA575
Cluster_46	ssRNA607	1	ssRNA607
Cluster_47	ssRNA672	1	ssRNA672
Cluster_48	ssRNA704	1	ssRNA704
Cluster_49	ssRNA769	1	ssRNA769
Cluster_50	ssRNA801	1	ssRNA801
Cluster_51	ssRNA832	1	ssRNA832
Cluster_52	ssRNA864	1	ssRNA864
Cluster_53	ssRNA896	1	ssRNA896
Cluster_54	ssRNA31	1	ssRNA31
Cluster_55	ssRNA63	1	ssRNA63
Cluster_56	ssRNA95	2	ssRNA95,ssRNA837
Cluster_56	ssRNA837	2	ssRNA95,ssRNA837
Cluster_57	ssRNA127	1	ssRNA127
Cluster_58	ssRNA159	1	ssRNA159
Cluster_59	ssRNA191	1	ssRNA191
Cluster_60	ssRNA223	3	ssRNA223,ssRNA66,ssRNA737
Cluster_60	ssRNA66	3	ssRNA223,ssRNA66,ssRNA737
Cluster_60	ssRNA737	3	ssRNA223,ssRNA66,ssRNA737
Cluster_61	ssRNA255	1	ssRNA255
Cluster_62	ssRNA287	1	ssRNA287
Cluster_63	ssRNA320	1	ssRNA320
Cluster_64	ssRNA352	1	ssRNA352
Cluster_65	ssRNA384	1	ssRNA384
Cluster_66	ssRNA416	1	ssRNA416
Cluster_67	ssRNA448	1	ssRNA448
Cluster_68	ssRNA480	1	ssRNA480
Cluster_69	ssRNA512	1	ssRNA512
Cluster_70	ssRNA544	1	ssRNA544
Cluster_71	ssRNA576	1	ssRNA576
Cluster_72	ssRNA608	1	ssRNA608
Cluster_73	ssRNA640	1	ssRNA640
Cluster_74	ssRNA673	1	ssRNA673
Cluster_75	ssRNA705	1	ssRNA705
Cluster_76	ssRNA738	1	ssRNA738
Cluster_77	ssRNA770	1	ssRNA770
Cluster_78	ssRNA802	1	ssRNA802
Cluster_79	ssRNA833	1	ssRNA833
Cluster_80	ssRNA865	1	ssRNA865
Cluster_81	ssRNA897	1	ssRNA897
Cluster_82	ssRNA32	1	ssRNA32
Cluster_83	ssRNA64	1	ssRNA64
Cluster_84	ssRNA128	1	ssRNA128
Cluster_85	ssRNA160	1	ssRNA160
Cluster_86	ssRNA192	1	ssRNA192
Cluster_87	ssRNA224	1	ssRNA224
Cluster_88	ssRNA256	1	ssRNA256
Cluster_89	ssRNA288	1	ssRNA288
Cluster_90	ssRNA321	1	ssRNA321
Cluster_91	ssRNA353	1	ssRNA353
Cluster_92	ssRNA385	1	ssRNA385
Cluster_93	ssRNA417	3	ssRNA417,ssRNA731,ssRNA732
Cluster_93	ssRNA731	3	ssRNA417,ssRNA731,ssRNA732
Cluster_93	ssRNA732	3	ssRNA417,ssRNA731,ssRNA732
Cluster_94	ssRNA449	1	ssRNA449
Cluster_95	ssRNA513	1	ssRNA513
Cluster_96	ssRNA545	1	ssRNA545
Cluster_97	ssRNA577	1	ssRNA577
Cluster_98	ssRNA609	1	ssRNA609
Cluster_99	ssRNA332	2	ssRNA332,ssRNA351
Cluster_99	ssRNA351	2	ssRNA332,ssRNA351
Cluster_100	ssRNA364	1	ssRNA364
Cluster_101	ssRNA396	1	ssRNA396
Cluster_102	ssRNA428	1	ssRNA428
Cluster_103	ssRNA460	1	ssRNA460
Cluster_104	ssRNA492	1	ssRNA492
Cluster_105	ssRNA524	1	ssRNA524
Cluster_106	ssRNA588	1	ssRNA588
Cluster_107	ssRNA620	1	ssRNA620
Cluster_108	ssRNA652	1	ssRNA652
Cluster_109	ssRNA685	1	ssRNA685
Cluster_110	ssRNA750	1	ssRNA750
Cluster_111	ssRNA782	1	ssRNA782
Cluster_112	ssRNA814	1	ssRNA814
Cluster_113	ssRNA845	1	ssRNA845
Cluster_114	ssRNA909	1	ssRNA909
Cluster_115	ssRNA11	1	ssRNA11
Cluster_116	ssRNA44	1	ssRNA44
Cluster_117	ssRNA76	1	ssRNA76
Cluster_118	ssRNA108	1	ssRNA108
Cluster_119	ssRNA140	1	ssRNA140
Cluster_120	ssRNA172	1	ssRNA172
Cluster_121	ssRNA204	1	ssRNA204
Cluster_122	ssRNA236	1	ssRNA236
Cluster_123	ssRNA300	1	ssRNA300
Cluster_124	ssRNA333	1	ssRNA333
Cluster_125	ssRNA365	1	ssRNA365
Cluster_126	ssRNA397	1	ssRNA397
Cluster_127	ssRNA429	1	ssRNA429
Cluster_128	ssRNA461	2	ssRNA461,ssRNA463
Cluster_128	ssRNA463	2	ssRNA461,ssRNA463
Cluster_129	ssRNA493	1	ssRNA493
Cluster_130	ssRNA557	1	ssRNA557
Cluster_131	ssRNA589	1	ssRNA589
Cluster_132	ssRNA621	1	ssRNA621
Cluster_133	ssRNA653	1	ssRNA653
Cluster_134	ssRNA686	1	ssRNA686
Cluster_135	ssRNA719	1	ssRNA719
Cluster_136	ssRNA751	1	ssRNA751
Cluster_137	ssRNA783	1	ssRNA783
Cluster_138	ssRNA846	1	ssRNA846
Cluster_139	ssRNA656	1	ssRNA656
Cluster_140	ssRNA12	1	ssRNA12
Cluster_141	ssRNA45	1	ssRNA45
Cluster_142	ssRNA77	1	ssRNA77
Cluster_143	ssRNA109	1	ssRNA109
Cluster_144	ssRNA141	1	ssRNA141
Cluster_145	ssRNA173	1	ssRNA173
Cluster_146	ssRNA205	1	ssRNA205
Cluster_147	ssRNA237	1	ssRNA237
Cluster_148	ssRNA269	1	ssRNA269
Cluster_149	ssRNA301	1	ssRNA301
Cluster_150	ssRNA334	1	ssRNA334
Cluster_151	ssRNA366	1	ssRNA366
Cluster_152	ssRNA398	1	ssRNA398
Cluster_153	ssRNA430	1	ssRNA430
Cluster_154	ssRNA462	2	ssRNA462,ssRNA323
Cluster_154	ssRNA323	2	ssRNA462,ssRNA323
Cluster_155	ssRNA494	1	ssRNA494
Cluster_156	ssRNA526	2	ssRNA526,ssRNA525
Cluster_156	ssRNA525	2	ssRNA526,ssRNA525
Cluster_157	ssRNA558	1	ssRNA558
Cluster_158	ssRNA590	1	ssRNA590
Cluster_159	ssRNA622	1	ssRNA622
Cluster_160	ssRNA654	1	ssRNA654
Cluster_161	ssRNA687	1	ssRNA687
Cluster_162	ssRNA720	1	ssRNA720
Cluster_163	ssRNA752	1	ssRNA752
Cluster_164	ssRNA784	1	ssRNA784
Cluster_165	ssRNA847	1	ssRNA847
Cluster_166	ssRNA910	1	ssRNA910
Cluster_167	ssRNA14	1	ssRNA14
Cluster_168	ssRNA46	1	ssRNA46
Cluster_169	ssRNA78	1	ssRNA78
Cluster_170	ssRNA110	1	ssRNA110
Cluster_171	ssRNA174	1	ssRNA174
Cluster_172	ssRNA206	1	ssRNA206
Cluster_173	ssRNA238	1	ssRNA238
Cluster_174	ssRNA270	1	ssRNA270
Cluster_175	ssRNA302	1	ssRNA302
Cluster_176	ssRNA335	1	ssRNA335
Cluster_177	ssRNA367	1	ssRNA367
Cluster_178	ssRNA399	1	ssRNA399
Cluster_179	ssRNA431	1	ssRNA431
Cluster_180	ssRNA495	1	ssRNA495
Cluster_181	ssRNA559	1	ssRNA559
Cluster_182	ssRNA591	1	ssRNA591
Cluster_183	ssRNA623	1	ssRNA623
Cluster_184	ssRNA655	1	ssRNA655
Cluster_185	ssRNA688	1	ssRNA688
Cluster_186	ssRNA721	1	ssRNA721
Cluster_187	ssRNA22	1	ssRNA22
Cluster_188	ssRNA54	2	ssRNA54,ssRNA858
Cluster_188	ssRNA858	2	ssRNA54,ssRNA858
Cluster_189	ssRNA86	1	ssRNA86
Cluster_190	ssRNA118	1	ssRNA118
Cluster_191	ssRNA150	1	ssRNA150
Cluster_192	ssRNA182	1	ssRNA182
Cluster_193	ssRNA214	1	ssRNA214
Cluster_194	ssRNA246	1	ssRNA246
Cluster_195	ssRNA278	1	ssRNA278
Cluster_196	ssRNA310	1	ssRNA310
Cluster_197	ssRNA343	1	ssRNA343
Cluster_198	ssRNA375	1	ssRNA375
Cluster_199	ssRNA407	1	ssRNA407
Cluster_200	ssRNA439	1	ssRNA439
Cluster_201	ssRNA503	1	ssRNA503
Cluster_202	ssRNA535	1	ssRNA535
Cluster_203	ssRNA567	1	ssRNA567
Cluster_204	ssRNA599	1	ssRNA599
Cluster_205	ssRNA631	1	ssRNA631
Cluster_206	ssRNA664	1	ssRNA664
Cluster_207	ssRNA696	1	ssRNA696
Cluster_208	ssRNA729	1	ssRNA729
Cluster_209	ssRNA761	1	ssRNA761
Cluster_210	ssRNA793	1	ssRNA793
Cluster_211	ssRNA825	1	ssRNA825
Cluster_212	ssRNA856	1	ssRNA856
Cluster_213	ssRNA23	1	ssRNA23
Cluster_214	ssRNA55	1	ssRNA55
Cluster_215	ssRNA87	1	ssRNA87
Cluster_216	ssRNA119	1	ssRNA119
Cluster_217	ssRNA151	1	ssRNA151
Cluster_218	ssRNA183	1	ssRNA183
Cluster_219	ssRNA215	1	ssRNA215
Cluster_220	ssRNA247	1	ssRNA247
Cluster_221	ssRNA279	1	ssRNA279
Cluster_222	ssRNA311	1	ssRNA311
Cluster_223	ssRNA344	1	ssRNA344
Cluster_224	ssRNA408	1	ssRNA408
Cluster_225	ssRNA440	1	ssRNA440
Cluster_226	ssRNA504	1	ssRNA504
Cluster_227	ssRNA536	1	ssRNA536
Cluster_228	ssRNA568	1	ssRNA568
Cluster_229	ssRNA600	1	ssRNA600
Cluster_230	ssRNA665	1	ssRNA665
Cluster_231	ssRNA697	1	ssRNA697
Cluster_232	ssRNA730	1	ssRNA730
Cluster_233	ssRNA762	1	ssRNA762
Cluster_234	ssRNA794	1	ssRNA794
Cluster_235	ssRNA313	1	ssRNA313
Cluster_236	ssRNA857	1	ssRNA857
Cluster_237	ssRNA889	1	ssRNA889
Cluster_238	ssRNA24	1	ssRNA24
Cluster_239	ssRNA56	1	ssRNA56
Cluster_240	ssRNA88	1	ssRNA88
Cluster_241	ssRNA120	1	ssRNA120
Cluster_242	ssRNA152	1	ssRNA152
Cluster_243	ssRNA184	1	ssRNA184
Cluster_244	ssRNA216	1	ssRNA216
Cluster_245	ssRNA248	1	ssRNA248
Cluster_246	ssRNA280	1	ssRNA280
Cluster_247	ssRNA312	1	ssRNA312
Cluster_248	ssRNA377	1	ssRNA377
Cluster_249	ssRNA409	1	ssRNA409
Cluster_250	ssRNA441	1	ssRNA441
Cluster_251	ssRNA473	7	ssRNA473,ssRNA304,ssRNA472,ssRNA477,ssRNA478,ssRNA471,ssRNA479
Cluster_251	ssRNA304	7	ssRNA473,ssRNA304,ssRNA472,ssRNA477,ssRNA478,ssRNA471,ssRNA479
Cluster_251	ssRNA472	7	ssRNA473,ssRNA304,ssRNA472,ssRNA477,ssRNA478,ssRNA471,ssRNA479
Cluster_251	ssRNA477	7	ssRNA473,ssRNA304,ssRNA472,ssRNA477,ssRNA478,ssRNA471,ssRNA479
Cluster_251	ssRNA478	7	ssRNA473,ssRNA304,ssRNA472,ssRNA477,ssRNA478,ssRNA471,ssRNA479
Cluster_251	ssRNA471	7	ssRNA473,ssRNA304,ssRNA472,ssRNA477,ssRNA478,ssRNA471,ssRNA479
Cluster_251	ssRNA479	7	ssRNA473,ssRNA304,ssRNA472,ssRNA477,ssRNA478,ssRNA471,ssRNA479
Cluster_252	ssRNA505	1	ssRNA505
Cluster_253	ssRNA569	1	ssRNA569
Cluster_254	ssRNA601	1	ssRNA601
Cluster_255	ssRNA633	1	ssRNA633
Cluster_256	ssRNA666	1	ssRNA666
Cluster_257	ssRNA698	1	ssRNA698
Cluster_258	ssRNA763	1	ssRNA763
Cluster_259	ssRNA795	1	ssRNA795
Cluster_260	ssRNA826	1	ssRNA826
Cluster_261	ssRNA25	1	ssRNA25
Cluster_262	ssRNA57	1	ssRNA57
Cluster_263	ssRNA89	1	ssRNA89
Cluster_264	ssRNA121	1	ssRNA121
Cluster_265	ssRNA153	1	ssRNA153
Cluster_266	ssRNA185	1	ssRNA185
Cluster_267	ssRNA249	1	ssRNA249
Cluster_268	ssRNA281	1	ssRNA281
Cluster_269	ssRNA314	1	ssRNA314
Cluster_270	ssRNA346	4	ssRNA346,ssRNA325,ssRNA326,ssRNA345
Cluster_270	ssRNA325	4	ssRNA346,ssRNA325,ssRNA326,ssRNA345
Cluster_270	ssRNA326	4	ssRNA346,ssRNA325,ssRNA326,ssRNA345
Cluster_270	ssRNA345	4	ssRNA346,ssRNA325,ssRNA326,ssRNA345
Cluster_271	ssRNA378	1	ssRNA378
Cluster_272	ssRNA410	3	ssRNA410,ssRNA268,ssRNA411
Cluster_272	ssRNA268	3	ssRNA410,ssRNA268,ssRNA411
Cluster_272	ssRNA411	3	ssRNA410,ssRNA268,ssRNA411
Cluster_273	ssRNA442	1	ssRNA442
Cluster_274	ssRNA841	1	ssRNA841
Cluster_275	ssRNA873	1	ssRNA873
Cluster_276	ssRNA905	1	ssRNA905
Cluster_277	ssRNA7	1	ssRNA7
Cluster_278	ssRNA40	1	ssRNA40
Cluster_279	ssRNA72	1	ssRNA72
Cluster_280	ssRNA104	2	ssRNA104,ssRNA639
Cluster_280	ssRNA639	2	ssRNA104,ssRNA639
Cluster_281	ssRNA136	1	ssRNA136
Cluster_282	ssRNA168	1	ssRNA168
Cluster_283	ssRNA200	1	ssRNA200
Cluster_284	ssRNA232	1	ssRNA232
Cluster_285	ssRNA264	1	ssRNA264
Cluster_286	ssRNA296	1	ssRNA296
Cluster_287	ssRNA361	1	ssRNA361
Cluster_288	ssRNA393	1	ssRNA393
Cluster_289	ssRNA457	2	ssRNA457,ssRNA258
Cluster_289	ssRNA258	2	ssRNA457,ssRNA258
Cluster_290	ssRNA489	1	ssRNA489
Cluster_291	ssRNA553	1	ssRNA553
Cluster_292	ssRNA585	1	ssRNA585
Cluster_293	ssRNA617	1	ssRNA617
Cluster_294	ssRNA649	1	ssRNA649
Cluster_295	ssRNA682	1	ssRNA682
Cluster_296	ssRNA715	1	ssRNA715
Cluster_297	ssRNA747	1	ssRNA747
Cluster_298	ssRNA779	1	ssRNA779
Cluster_299	ssRNA811	1	ssRNA811
Cluster_300	ssRNA842	1	ssRNA842
Cluster_301	ssRNA906	1	ssRNA906
Cluster_302	ssRNA8	1	ssRNA8
Cluster_303	ssRNA41	1	ssRNA41
Cluster_304	ssRNA73	1	ssRNA73
Cluster_305	ssRNA105	1	ssRNA105
Cluster_306	ssRNA137	1	ssRNA137
Cluster_307	ssRNA169	1	ssRNA169
Cluster_308	ssRNA201	1	ssRNA201
Cluster_309	ssRNA233	1	ssRNA233
Cluster_310	ssRNA265	1	ssRNA265
Cluster_311	ssRNA297	1	ssRNA297
Cluster_312	ssRNA330	2	ssRNA330,ssRNA347
Cluster_312	ssRNA347	2	ssRNA330,ssRNA347
Cluster_313	ssRNA362	1	ssRNA362
Cluster_314	ssRNA394	1	ssRNA394
Cluster_315	ssRNA426	3	ssRNA426,ssRNA425,ssRNA427
Cluster_315	ssRNA425	3	ssRNA426,ssRNA425,ssRNA427
Cluster_315	ssRNA427	3	ssRNA426,ssRNA425,ssRNA427
Cluster_316	ssRNA458	1	ssRNA458
Cluster_317	ssRNA490	1	ssRNA490
Cluster_318	ssRNA522	3	ssRNA522,ssRNA521,ssRNA523
Cluster_318	ssRNA521	3	ssRNA522,ssRNA521,ssRNA523
Cluster_318	ssRNA523	3	ssRNA522,ssRNA521,ssRNA523
Cluster_319	ssRNA554	1	ssRNA554
Cluster_320	ssRNA586	1	ssRNA586
Cluster_321	ssRNA618	1	ssRNA618
Cluster_322	ssRNA650	1	ssRNA650
Cluster_323	ssRNA683	1	ssRNA683
Cluster_324	ssRNA716	1	ssRNA716
Cluster_325	ssRNA748	1	ssRNA748
Cluster_326	ssRNA780	1	ssRNA780
Cluster_327	ssRNA812	1	ssRNA812
Cluster_328	ssRNA843	1	ssRNA843
Cluster_329	ssRNA875	1	ssRNA875
Cluster_330	ssRNA907	1	ssRNA907
Cluster_331	ssRNA9	1	ssRNA9
Cluster_332	ssRNA42	1	ssRNA42
Cluster_333	ssRNA106	1	ssRNA106
Cluster_334	ssRNA138	1	ssRNA138
Cluster_335	ssRNA170	1	ssRNA170
Cluster_336	ssRNA202	1	ssRNA202
Cluster_337	ssRNA234	1	ssRNA234
Cluster_338	ssRNA266	1	ssRNA266
Cluster_339	ssRNA298	2	ssRNA298,ssRNA760
Cluster_339	ssRNA760	2	ssRNA298,ssRNA760
Cluster_340	ssRNA331	1	ssRNA331
Cluster_341	ssRNA363	1	ssRNA363
Cluster_342	ssRNA395	1	ssRNA395
Cluster_343	ssRNA459	1	ssRNA459
Cluster_344	ssRNA491	1	ssRNA491
Cluster_345	ssRNA555	2	ssRNA555,ssRNA217
Cluster_345	ssRNA217	2	ssRNA555,ssRNA217
Cluster_346	ssRNA587	1	ssRNA587
Cluster_347	ssRNA619	1	ssRNA619
Cluster_348	ssRNA651	1	ssRNA651
Cluster_349	ssRNA684	1	ssRNA684
Cluster_350	ssRNA717	3	ssRNA717,ssRNA714,ssRNA718
Cluster_350	ssRNA714	3	ssRNA717,ssRNA714,ssRNA718
Cluster_350	ssRNA718	3	ssRNA717,ssRNA714,ssRNA718
Cluster_351	ssRNA749	1	ssRNA749
Cluster_352	ssRNA781	1	ssRNA781
Cluster_353	ssRNA813	1	ssRNA813
Cluster_354	ssRNA844	1	ssRNA844
Cluster_355	ssRNA876	7	ssRNA876,ssRNA556,ssRNA877,ssRNA879,ssRNA881,ssRNA883,ssRNA887
Cluster_355	ssRNA556	7	ssRNA876,ssRNA556,ssRNA877,ssRNA879,ssRNA881,ssRNA883,ssRNA887
Cluster_355	ssRNA877	7	ssRNA876,ssRNA556,ssRNA877,ssRNA879,ssRNA881,ssRNA883,ssRNA887
Cluster_355	ssRNA879	7	ssRNA876,ssRNA556,ssRNA877,ssRNA879,ssRNA881,ssRNA883,ssRNA887
Cluster_355	ssRNA881	7	ssRNA876,ssRNA556,ssRNA877,ssRNA879,ssRNA881,ssRNA883,ssRNA887
Cluster_355	ssRNA883	7	ssRNA876,ssRNA556,ssRNA877,ssRNA879,ssRNA881,ssRNA883,ssRNA887
Cluster_355	ssRNA887	7	ssRNA876,ssRNA556,ssRNA877,ssRNA879,ssRNA881,ssRNA883,ssRNA887
Cluster_356	ssRNA908	1	ssRNA908
Cluster_357	ssRNA10	1	ssRNA10
Cluster_358	ssRNA43	1	ssRNA43
Cluster_359	ssRNA75	1	ssRNA75
Cluster_360	ssRNA107	5	ssRNA107,ssRNA324,ssRNA273,ssRNA566,ssRNA537
Cluster_360	ssRNA324	5	ssRNA107,ssRNA324,ssRNA273,ssRNA566,ssRNA537
Cluster_360	ssRNA273	5	ssRNA107,ssRNA324,ssRNA273,ssRNA566,ssRNA537
Cluster_360	ssRNA566	5	ssRNA107,ssRNA324,ssRNA273,ssRNA566,ssRNA537
Cluster_360	ssRNA537	5	ssRNA107,ssRNA324,ssRNA273,ssRNA566,ssRNA537
Cluster_361	ssRNA139	1	ssRNA139
Cluster_362	ssRNA171	1	ssRNA171
Cluster_363	ssRNA203	1	ssRNA203
Cluster_364	ssRNA235	1	ssRNA235
Cluster_365	ssRNA267	1	ssRNA267
Cluster_366	ssRNA299	1	ssRNA299
Cluster_367	ssRNA403	1	ssRNA403
Cluster_368	ssRNA435	1	ssRNA435
Cluster_369	ssRNA467	1	ssRNA467
Cluster_370	ssRNA499	1	ssRNA499
Cluster_371	ssRNA531	1	ssRNA531
Cluster_372	ssRNA563	1	ssRNA563
Cluster_373	ssRNA595	1	ssRNA595
Cluster_374	ssRNA627	1	ssRNA627
Cluster_375	ssRNA660	1	ssRNA660
Cluster_376	ssRNA692	1	ssRNA692
Cluster_377	ssRNA725	1	ssRNA725
Cluster_378	ssRNA757	1	ssRNA757
Cluster_379	ssRNA789	1	ssRNA789
Cluster_380	ssRNA821	1	ssRNA821
Cluster_381	ssRNA852	1	ssRNA852
Cluster_382	ssRNA884	1	ssRNA884
Cluster_383	ssRNA19	1	ssRNA19
Cluster_384	ssRNA51	1	ssRNA51
Cluster_385	ssRNA83	1	ssRNA83
Cluster_386	ssRNA115	1	ssRNA115
Cluster_387	ssRNA147	1	ssRNA147
Cluster_388	ssRNA179	1	ssRNA179
Cluster_389	ssRNA211	1	ssRNA211
Cluster_390	ssRNA243	1	ssRNA243
Cluster_391	ssRNA275	1	ssRNA275
Cluster_392	ssRNA307	1	ssRNA307
Cluster_393	ssRNA340	1	ssRNA340
Cluster_394	ssRNA372	2	ssRNA372,ssRNA376
Cluster_394	ssRNA376	2	ssRNA372,ssRNA376
Cluster_395	ssRNA404	1	ssRNA404
Cluster_396	ssRNA436	1	ssRNA436
Cluster_397	ssRNA468	1	ssRNA468
Cluster_398	ssRNA532	1	ssRNA532
Cluster_399	ssRNA564	1	ssRNA564
Cluster_400	ssRNA596	1	ssRNA596
Cluster_401	ssRNA628	4	ssRNA628,ssRNA632,ssRNA635,ssRNA636
Cluster_401	ssRNA632	4	ssRNA628,ssRNA632,ssRNA635,ssRNA636
Cluster_401	ssRNA635	4	ssRNA628,ssRNA632,ssRNA635,ssRNA636
Cluster_401	ssRNA636	4	ssRNA628,ssRNA632,ssRNA635,ssRNA636
Cluster_402	ssRNA661	1	ssRNA661
Cluster_403	ssRNA693	1	ssRNA693
Cluster_404	ssRNA726	1	ssRNA726
Cluster_405	ssRNA758	1	ssRNA758
Cluster_406	ssRNA790	1	ssRNA790
Cluster_407	ssRNA822	1	ssRNA822
Cluster_408	ssRNA853	2	ssRNA853,ssRNA727
Cluster_408	ssRNA727	2	ssRNA853,ssRNA727
Cluster_409	ssRNA20	1	ssRNA20
Cluster_410	ssRNA52	1	ssRNA52
Cluster_411	ssRNA84	1	ssRNA84
Cluster_412	ssRNA116	1	ssRNA116
Cluster_413	ssRNA148	1	ssRNA148
Cluster_414	ssRNA180	1	ssRNA180
Cluster_415	ssRNA212	1	ssRNA212
Cluster_416	ssRNA244	1	ssRNA244
Cluster_417	ssRNA276	1	ssRNA276
Cluster_418	ssRNA308	1	ssRNA308
Cluster_419	ssRNA341	1	ssRNA341
Cluster_420	ssRNA405	1	ssRNA405
Cluster_421	ssRNA437	1	ssRNA437
Cluster_422	ssRNA469	1	ssRNA469
Cluster_423	ssRNA501	1	ssRNA501
Cluster_424	ssRNA533	1	ssRNA533
Cluster_425	ssRNA565	1	ssRNA565
Cluster_426	ssRNA597	1	ssRNA597
Cluster_427	ssRNA629	2	ssRNA629,ssRNA630
Cluster_427	ssRNA630	2	ssRNA629,ssRNA630
Cluster_428	ssRNA662	1	ssRNA662
Cluster_429	ssRNA694	1	ssRNA694
Cluster_430	ssRNA759	1	ssRNA759
Cluster_431	ssRNA791	1	ssRNA791
Cluster_432	ssRNA823	1	ssRNA823
Cluster_433	ssRNA854	1	ssRNA854
Cluster_434	ssRNA21	1	ssRNA21
Cluster_435	ssRNA53	1	ssRNA53
Cluster_436	ssRNA85	1	ssRNA85
Cluster_437	ssRNA117	1	ssRNA117
Cluster_438	ssRNA149	1	ssRNA149
Cluster_439	ssRNA181	1	ssRNA181
Cluster_440	ssRNA213	1	ssRNA213
Cluster_441	ssRNA245	1	ssRNA245
Cluster_442	ssRNA277	1	ssRNA277
Cluster_443	ssRNA309	1	ssRNA309
Cluster_444	ssRNA342	1	ssRNA342
Cluster_445	ssRNA374	1	ssRNA374
Cluster_446	ssRNA406	1	ssRNA406
Cluster_447	ssRNA438	1	ssRNA438
Cluster_448	ssRNA470	1	ssRNA470
Cluster_449	ssRNA502	1	ssRNA502
Cluster_450	ssRNA534	1	ssRNA534
Cluster_451	ssRNA598	1	ssRNA598
Cluster_452	ssRNA663	1	ssRNA663
Cluster_453	ssRNA695	1	ssRNA695
Cluster_454	ssRNA728	1	ssRNA728
Cluster_455	ssRNA792	1	ssRNA792
Cluster_456	ssRNA824	1	ssRNA824
Cluster_457	ssRNA855	1	ssRNA855
Cluster_458	ssRNA0	1	ssRNA0
Cluster_459	ssRNA33	1	ssRNA33
Cluster_460	ssRNA97	3	ssRNA97,ssRNA98,ssRNA96
Cluster_460	ssRNA98	3	ssRNA97,ssRNA98,ssRNA96
Cluster_460	ssRNA96	3	ssRNA97,ssRNA98,ssRNA96
Cluster_461	ssRNA129	1	ssRNA129
Cluster_462	ssRNA161	1	ssRNA161
Cluster_463	ssRNA193	1	ssRNA193
Cluster_464	ssRNA225	1	ssRNA225
Cluster_465	ssRNA257	1	ssRNA257
Cluster_466	ssRNA322	11	ssRNA322,ssRNA289,ssRNA899,ssRNA874,ssRNA878,ssRNA880,ssRNA882,ssRNA885,ssRNA886,ssRNA888,ssRNA890
Cluster_466	ssRNA289	11	ssRNA322,ssRNA289,ssRNA899,ssRNA874,ssRNA878,ssRNA880,ssRNA882,ssRNA885,ssRNA886,ssRNA888,ssRNA890
Cluster_466	ssRNA899	11	ssRNA322,ssRNA289,ssRNA899,ssRNA874,ssRNA878,ssRNA880,ssRNA882,ssRNA885,ssRNA886,ssRNA888,ssRNA890
Cluster_466	ssRNA874	11	ssRNA322,ssRNA289,ssRNA899,ssRNA874,ssRNA878,ssRNA880,ssRNA882,ssRNA885,ssRNA886,ssRNA888,ssRNA890
Cluster_466	ssRNA878	11	ssRNA322,ssRNA289,ssRNA899,ssRNA874,ssRNA878,ssRNA880,ssRNA882,ssRNA885,ssRNA886,ssRNA888,ssRNA890
Cluster_466	ssRNA880	11	ssRNA322,ssRNA289,ssRNA899,ssRNA874,ssRNA878,ssRNA880,ssRNA882,ssRNA885,ssRNA886,ssRNA888,ssRNA890
