cluster_index	protein_index	cluster_number	cluster_member
Cluster_51	new_RNA_965	7	new_RNA_966,new_RNA_958,new_RNA_959,new_RNA_960,new_RNA_961,new_RNA_962,new_RNA_965
Cluster_52	new_RNA_998	1	new_RNA_998
Cluster_53	new_RNA_935	1	new_RNA_935
Cluster_54	new_RNA_967	1	new_RNA_967
Cluster_55	new_RNA_999	1	new_RNA_999
Cluster_56	new_RNA_936	1	new_RNA_936
Cluster_57	new_RNA_968	1	new_RNA_968
Cluster_58	new_RNA_1000	1	new_RNA_1000
Cluster_59	new_RNA_937	1	new_RNA_937
Cluster_60	new_RNA_969	1	new_RNA_969
Cluster_61	new_RNA_1001	1	new_RNA_1001
Cluster_62	new_RNA_938	1	new_RNA_938
Cluster_63	new_RNA_970	1	new_RNA_970
Cluster_64	new_RNA_939	1	new_RNA_939
Cluster_65	new_RNA_971	1	new_RNA_971
Cluster_66	new_RNA_940	1	new_RNA_940
Cluster_67	new_RNA_972	1	new_RNA_972
Cluster_68	new_RNA_941	1	new_RNA_941
Cluster_69	new_RNA_973	1	new_RNA_973
Cluster_70	new_RNA_942	1	new_RNA_942
Cluster_71	new_RNA_974	1	new_RNA_974
Cluster_72	new_RNA_943	1	new_RNA_943
Cluster_73	new_RNA_975	1	new_RNA_975
